id,first_name,last_name,email,gender,ip_address,last_login,account_balance,country,favorite_color
1,Selig,Palatino,spalatino0@vinaora.com,Male,3.12.48.236,2017-11-29T15:58:53Z,16971.76,BR,#ccf77e
2,Benjy,Kipping,bkipping1@un.org,Bigender,249.150.170.106,2018-05-09T20:12:18Z,21325.36,AU,#369f5f
3,Lucilia,Duckerin,lduckerin2@com.com,Female,132.146.103.84,2016-10-12T21:30:55Z,12520.51,PH,#5591bb
4,Burr,St Louis,bstlouis3@desdev.cn,Male,38.37.73.241,2018-11-19T00:41:23Z,84.32,PH,#c808e4
5,Webster,Pyne,wpyne4@alexa.com,Male,131.171.100.67,2017-10-05T23:18:03Z,12900.76,FR,#b13240
6,Wit,Stokoe,wstokoe5@usatoday.com,Male,136.88.197.5,2014-04-25T20:21:42Z,21265.38,ZA,#ea9b19
7,Paola,Sollon,psollon6@t.co,Female,18.128.117.219,2016-11-19T19:55:39Z,16164.67,CN,#81633f
8,Bonnibelle,Helstrip,bhelstrip7@bandcamp.com,Female,133.55.77.77,2015-12-21T02:03:49Z,1076.91,PT,#d9a294
9,Roi,Cresser,rcresser8@thetimes.co.uk,Male,21.211.72.31,2016-02-01T11:21:45Z,11864.98,UA,#b44aee
10,Lammond,Nugent,lnugent9@simplemachines.org,Polygender,6.165.80.239,2016-12-12T02:24:33Z,20519.89,MN,#9bffc8
11,Tanya,Grewes,tgrewesa@timesonline.co.uk,Female,197.35.23.14,2014-05-04T16:35:44Z,18196.33,PK,#28e402
12,Alyda,Pygott,apygottb@flavors.me,Female,138.43.200.124,2018-03-01T10:22:54Z,24227.3,FR,#b7b664
13,Estrella,Moyse,emoysec@tumblr.com,Female,203.189.178.22,2018-08-08T12:08:15Z,6391.75,US,#ba5741
14,Baudoin,Yurin,byurind@instagram.com,Male,224.255.111.113,2018-05-26T09:30:51Z,15923.25,PE,#8f3174
15,Winne,Janusik,wjanusike@latimes.com,Female,179.226.99.223,2018-03-19T12:21:40Z,12567.12,PH,#e0680a
16,Pernell,Benley,pbenleyf@xrea.com,Male,95.143.72.127,2015-08-27T00:02:47Z,16642.18,TN,#8a3779
17,Isidro,Muat,imuatg@about.me,Bigender,94.237.167.141,2017-12-12T01:13:07Z,10302.96,BR,#58fb89
18,Saunder,Frankish,sfrankishh@nymag.com,Male,119.204.8.74,2014-08-02T06:25:47Z,20812.61,US,#7c4df6
